nome,matricula,cpf,sexo,cargo,cargo_nivel,dataadmissao,datarescisao,datanascimento,ge,empresa,estabelecimento,lotacao,departamento,tipo_rubrica,ordem_rubrica,codigo_rubrica,valor,quantidade,tipo_calculo,ano_calculo,mes_calculo
Ana Clara,001,12345678901,F,Desenvolvedora,Pleno,2019/03/12,,1995/10/01,001,001,001,DEV,TI,RENDIMENTO,1,1001,5000.00,1.0,FO,2025,1
Ana Clara,001,12345678901,F,Desenvolvedora,Pleno,2019/03/12,,1995/10/01,001,001,001,DEV,TI,RENDIMENTO,1,1001,5000.00,1.0,FO,2025,2
Ana Clara,001,12345678901,F,Desenvolvedora,Pleno,2019/03/12,,1995/10/01,001,001,001,DEV,TI,DESCONTO,2,2001,500.00,1.0,FO,2025,1
Ana Clara,001,12345678901,F,Desenvolvedora,Pleno,2019/03/12,,1995/10/01,001,001,001,DEV,TI,DESCONTO,2,2001,505.00,1.0,FO,2025,2
Ana Clara,001,12345678901,F,Desenvolvedora,Pleno,2019/03/12,,1995/10/01,001,001,001,DEV,TI,DESCONTO,2,2001,520.00,1.0,FO,2025,3
João Duarte,002,98765432100,M,Analista,Júnior,2021/06/01,,1990/05/05,001,001,001,FIN,FINANCEIRO,RENDIMENTO,1,1002,4200.00,1.0,FO,2024,9
João Duarte,002,98765432100,M,Analista,Júnior,2021/06/01,,1990/05/05,001,001,001,FIN,FINANCEIRO,RENDIMENTO,1,1002,4200.00,1.0,FO,2024,10
João Duarte,002,98765432100,M,Analista,Júnior,2021/06/01,,1990/05/05,001,001,001,FIN,FINANCEIRO,RENDIMENTO,1,1002,4200.00,1.0,FO,2024,11
João Duarte,002,98765432100,M,Analista,Júnior,2021/06/01,,1990/05/05,001,001,001,FIN,FINANCEIRO,RENDIMENTO,1,1002,4200.00,1.0,FO,2024,12
João Duarte,002,98765432100,M,Analista,Júnior,2021/06/01,,1990/05/05,001,001,001,FIN,FINANCEIRO,RENDIMENTO,1,1002,4200.00,1.0,FO,2025,1
João Duarte,002,98765432100,M,Analista,Júnior,2021/06/01,,1990/05/05,001,001,001,FIN,FINANCEIRO,RENDIMENTO,1,9999,1000.00,1.0,FO,2025,2
João Duarte,001,12345678900,M,Analista,Pleno,2020-01-01,,1990-05-01,GE1,E1,EST1,LOT1,DEP1,RENDIMENTO,1,R001,1500.00,1.0,FO,2025,1
João Duarte,001,12345678900,M,Analista,Pleno,2020-01-01,,1990-05-01,GE1,E1,EST1,LOT1,DEP1,RENDIMENTO,1,R001,1500.00,1.0,FO,2025,2
João Duarte,001,12345678900,M,Analista,Pleno,2020-01-01,,1990-05-01,GE1,E1,EST1,LOT1,DEP1,RENDIMENTO,1,R001,1500.00,1.0,FO,2025,3
João Duarte,001,12345678900,M,Analista,Pleno,2020-01-01,,1990-05-01,GE1,E1,EST1,LOT1,DEP1,RENDIMENTO,1,R001,1500.00,1.0,FO,2025,4
João Duarte,001,12345678900,M,Analista,Pleno,2020-01-01,,1990-05-01,GE1,E1,EST1,LOT1,DEP1,RENDIMENTO,1,R001,1500.00,1.0,FO,2025,5
João Duarte,001,12345678900,M,Analista,Pleno,2020-01-01,,1990-05-01,GE1,E1,EST1,LOT1,DEP1,RENDIMENTO,1,R001,1500.00,1.0,FO,2025,6
João Duarte,001,12345678900,M,Analista,Pleno,2020-01-01,,1990-05-01,GE1,E1,EST1,LOT1,DEP1,RENDIMENTO,1,R001,1500.00,1.0,FO,2025,7
João Duarte,001,12345678900,M,Analista,Pleno,2020-01-01,,1990-05-01,GE1,E1,EST1,LOT1,DEP1,DESCONTO,2,D001,200.00,1.0,FO,2025,4
João Duarte,001,12345678900,M,Analista,Pleno,2020-01-01,,1990-05-01,GE1,E1,EST1,LOT1,DEP1,DESCONTO,2,D001,201.00,1.0,FO,2025,5
João Duarte,001,12345678900,M,Analista,Pleno,2020-01-01,,1990-05-01,GE1,E1,EST1,LOT1,DEP1,DESCONTO,2,D001,199.00,1.0,FO,2025,6
João Duarte,001,12345678900,M,Analista,Pleno,2020-01-01,,1990-05-01,GE1,E1,EST1,LOT1,DEP1,DESCONTO,2,D001,300.00,1.0,FO,2025,7
Lucas Silva,004,11122233344,M,Coordenador,Sênior,2018/05/10,,1985/08/22,001,001,001,ADM,ADM,RENDIMENTO,1,7777,3000.00,1.0,FO,2024,11
Lucas Silva,004,11122233344,M,Coordenador,Sênior,2018/05/10,,1985/08/22,001,001,001,ADM,ADM,RENDIMENTO,1,7777,3000.00,1.0,FO,2024,12
Lucas Silva,004,11122233344,M,Coordenador,Sênior,2018/05/10,,1985/08/22,001,001,001,ADM,ADM,RENDIMENTO,1,7777,3000.00,1.0,FO,2025,7
